#Dev nodeId x y z SF DR ConsEnergy RemEnergy 
ED 394 101.783 460.864 24.0137 12 0 0.222384 5.26765 
ED 395 925.61 804.702 5.95399 12 0 0.222384 5.26765 
ED 396 -1155.82 -1507.24 6.43172 12 0 0.222384 5.26765 
ED 397 -380.685 729.363 26.6576 12 0 0.222384 5.26765 
ED 398 -779.836 -381.019 1.32757 12 0 0.222384 5.26765 
ED 399 707.808 2087.22 26.2011 12 0 0.222384 5.26765 
ED 400 -1698.42 2261.26 26.7534 12 0 0.222384 5.26765 
ED 401 1847.03 -1561.15 35.17 10 2 0.0631744 5.42685 
ED 402 -1088 1391.11 27.2972 12 0 0.222384 5.26765 
ED 403 -1762.87 -815.769 23.6701 12 0 0.222384 5.26765 
ED 404 228.902 1264.66 10.519 12 0 0.222384 5.26765 
ED 405 1531.2 -212.95 38.3802 7 5 0.0183865 5.47164 
ED 406 828.084 196.315 37.2627 11 1 0.116244 5.37378 
ED 407 -1953.57 549.557 35.4176 12 0 0.222384 5.26765 
ED 408 1612.83 -1917.33 8.39323 12 0 0.222384 5.26765 
ED 409 -1359.78 -354.476 12.215 12 0 0.222384 5.26765 
ED 410 -361.946 1695.4 20.7591 12 0 0.222384 5.26765 
ED 411 -1278.17 739.02 9.7913 12 0 0.222384 5.26765 
ED 412 631.074 1094.77 7.96254 12 0 0.222384 5.26765 
ED 413 810.177 -90.6017 20.2158 12 0 0.222384 5.26765 
ED 414 -1962.25 -1609.34 4.9212 12 0 0.222384 5.26765 
ED 415 1244.28 437.203 30.8817 12 0 0.222384 5.26765 
ED 416 -978.721 -625.084 35.7195 7 5 0.0183865 5.47164 
ED 417 -450.854 -0.245892 33.9515 12 0 0.222384 5.26765 
ED 418 -761.803 2004.64 0.532952 12 0 0.222384 5.26765 
ED 419 1249.55 319.617 1.0363 12 0 0.222384 5.26765 
ED 420 -1958.6 2372.27 25.5012 12 0 0.222384 5.26765 
ED 421 1021.53 -177.28 8.10182 12 0 0.222384 5.26765 
ED 422 -962.753 1283.73 29.1753 12 0 0.222384 5.26765 
ED 423 1342.12 1976.04 35.5825 12 0 0.222384 5.26765 
ED 424 547.45 425.512 29.4455 12 0 0.222384 5.26765 
ED 425 -1584.8 -830.866 1.74157 12 0 0.222384 5.26765 
ED 426 -1896.48 544.49 6.07228 12 0 0.222384 5.26765 
ED 427 157.634 1026.04 18.5574 7 5 0.0183865 5.47164 
ED 428 -1446.04 839.17 7.89971 12 0 0.222384 5.26765 
ED 429 1315.81 1527.39 31.1206 12 0 0.222384 5.26765 
ED 430 1440.82 1236.73 27.8115 12 0 0.222384 5.26765 
ED 431 1421.71 1929.33 11.3615 12 0 0.222384 5.26765 
ED 432 -860.228 1572.54 16.3778 12 0 0.222384 5.26765 
ED 433 1834.01 -1713.3 32.7576 12 0 0.222384 5.26765 
ED 434 1649.63 987.153 20.9397 12 0 0.222384 5.26765 
ED 435 1532.42 -21.0066 25.9823 12 0 0.222384 5.26765 
ED 436 550.573 681.982 35.9595 9 3 0.0399358 5.45009 
ED 437 1626.04 264.612 19.7425 12 0 0.222384 5.26765 
ED 438 -1753.47 1609.91 23.219 12 0 0.222384 5.26765 
ED 439 -595.708 -1803.05 32.3583 9 3 0.0399358 5.45009 
ED 440 1258.76 1268.54 7.8546 12 0 0.222384 5.26765 
ED 441 -1988.77 1977.28 7.14198 12 0 0.222384 5.26765 
ED 442 218.806 -827.22 19.895 12 0 0.222384 5.26765 
ED 443 1045.32 1933.37 31.7445 12 0 0.222384 5.26765 
ED 444 -1397.04 1757.47 26.5954 12 0 0.222384 5.26765 
ED 445 1525.02 300.042 29.231 10 2 0.0631744 5.42685 
ED 446 -253.282 -834.258 30.8486 11 1 0.116244 5.37378 
ED 447 -1047.32 -1683.82 19.3227 12 0 0.222384 5.26765 
ED 448 -1144.85 2134.46 32.8661 11 1 0.116244 5.37378 
ED 449 801.808 1937.79 13.2563 12 0 0.222384 5.26765 
ED 450 612.558 108.444 38.4165 8 4 0.0266683 5.46336 
ED 451 -1741.65 884.89 38.4911 12 0 0.222384 5.26765 
ED 452 1924.35 -638.789 23.841 12 0 0.222384 5.26765 
ED 453 -1597.04 -1633.94 6.57039 12 0 0.222384 5.26765 
ED 454 335.683 1708.89 7.22411 12 0 0.222384 5.26765 
ED 455 855.316 487.102 30.4089 12 0 0.222384 5.26765 
ED 456 955.782 -1378.44 6.36736 12 0 0.222384 5.26765 
ED 457 1220.34 532.863 22.1852 12 0 0.222384 5.26765 
ED 458 901.671 -523.789 33.5274 10 2 0.0631744 5.42685 
ED 459 812.015 -272.148 1.57766 12 0 0.222384 5.26765 
ED 460 451.694 543.302 21.6421 12 0 0.222384 5.26765 
ED 461 -1070.54 -1227.93 33.9286 7 5 0.0183865 5.47164 
ED 462 -753.709 297.735 15.6569 12 0 0.222384 5.26765 
ED 463 -759.894 2138.03 18.7471 12 0 0.222384 5.26765 
ED 464 310.063 2304.23 13.5988 12 0 0.222384 5.26765 
ED 465 530.357 1021.84 16.3918 12 0 0.222384 5.26765 
ED 466 -890.339 -657.812 28.6142 12 0 0.222384 5.26765 
ED 467 -1188.78 274.624 20.4307 12 0 0.222384 5.26765 
ED 468 -486.723 2216.26 24.0562 12 0 0.222384 5.26765 
ED 469 6.5745 1571.72 1.38421 12 0 0.222384 5.26765 
ED 470 1831.39 1128.67 10.9922 12 0 0.222384 5.26765 
ED 471 -1578.24 -284.554 36.6009 12 0 0.222384 5.26765 
ED 472 1723.85 -1355.9 11.1209 12 0 0.222384 5.26765 
ED 473 1710.24 -1578.16 18.6489 12 0 0.222384 5.26765 
ED 474 -1192.38 2459.12 18.1081 12 0 0.222384 5.26765 
ED 475 -1086.26 284.693 35.7667 10 2 0.0631744 5.42685 
ED 476 857.259 -1358.49 38.7453 7 5 0.0183865 5.47164 
ED 477 910.782 -351.327 14.0129 12 0 0.222384 5.26765 
ED 478 -683.394 2097.62 31.27 12 0 0.222384 5.26765 
ED 479 -573.482 979.96 39.7051 7 5 0.0183865 5.47164 
ED 480 211.068 56.6679 35.4739 12 0 0.222384 5.26765 
ED 481 -62.3889 -1115.24 26.5251 12 0 0.222384 5.26765 
ED 482 832.365 2166.76 25.0814 12 0 0.222384 5.26765 
ED 483 1441.99 995.766 22.657 12 0 0.222384 5.26765 
ED 484 1544.61 474.935 12.3592 12 0 0.222384 5.26765 
ED 485 -240.081 1267.27 2.44416 12 0 0.222384 5.26765 
ED 486 1425.04 -232.831 7.05547 12 0 0.222384 5.26765 
ED 487 -157.453 -1280.06 19.0909 12 0 0.222384 5.26765 
ED 488 356.721 2401.92 20.4124 12 0 0.222384 5.26765 
ED 489 -1966.56 1323.03 36.0589 12 0 0.222384 5.26765 
ED 490 1806.68 -1853.23 31.2551 12 0 0.222384 5.26765 
ED 491 -546.094 -434.533 2.50214 12 0 0.222384 5.26765 
ED 492 626.954 2.79032 7.80202 12 0 0.222384 5.26765 
ED 493 -389.253 -1124.62 12.8389 12 0 0.222384 5.26765 
ED 494 -1486.26 67.2669 17.8352 12 0 0.222384 5.26765 
ED 495 118.26 -1198.15 1.83558 12 0 0.222384 5.26765 
ED 496 -1272 1421.78 20.0201 12 0 0.222384 5.26765 
ED 497 -1588.95 -1406.44 38.0184 9 3 0.0399358 5.45009 
ED 498 1442.57 -1986.26 1.47764 12 0 0.222384 5.26765 
ED 499 1552.63 -999.564 27.1278 12 0 0.222384 5.26765 
ED 500 1131.59 765.565 35.5804 8 4 0.0266683 5.46336 
ED 501 433.582 -218.83 13.7502 12 0 0.222384 5.26765 
ED 502 -278.122 -362.199 34.9208 8 4 0.0266683 5.46336 
ED 503 1758.14 2127.92 20.7946 12 0 0.222384 5.26765 
ED 504 -66.1336 -169.286 10.8707 12 0 0.222384 5.26765 
ED 505 -1970.78 -729.76 33.9264 12 0 0.222384 5.26765 
ED 506 1347.76 203.017 34.8061 12 0 0.222384 5.26765 
ED 507 -1771.83 2079.17 29.4427 12 0 0.222384 5.26765 
ED 508 1644 -1018.89 4.50806 12 0 0.222384 5.26765 
ED 509 -1670.58 824.91 11.8763 12 0 0.222384 5.26765 
ED 510 1637.69 -1493.1 0.373552 12 0 0.222384 5.26765 
ED 511 -957.873 2096.9 17.2862 12 0 0.222384 5.26765 
ED 512 325.164 279.492 33.2871 12 0 0.222384 5.26765 
ED 513 114.069 688.154 1.49534 12 0 0.222384 5.26765 
ED 514 313.104 208.526 35.7858 9 3 0.0399358 5.45009 
ED 515 1722.76 869.37 37.0619 12 0 0.222384 5.26765 
ED 516 -450.009 579.14 20.0833 12 0 0.222384 5.26765 
ED 517 -360.145 1582.17 6.76936 12 0 0.222384 5.26765 
ED 518 924.834 1306.74 30.7751 12 0 0.222384 5.26765 
ED 519 -253.439 183.393 0.664423 12 0 0.222384 5.26765 
ED 520 -1176.1 -411.471 2.90413 12 0 0.222384 5.26765 
ED 521 1200.9 -1885.77 21.7645 12 0 0.222384 5.26765 
ED 522 938.366 1937.51 29.8669 12 0 0.222384 5.26765 
ED 523 -1252.11 -1105.13 23.3089 12 0 0.222384 5.26765 
ED 524 356.078 -1003.71 33.5067 12 0 0.222384 5.26765 
ED 525 -459.047 763.318 2.45932 12 0 0.222384 5.26765 
ED 526 -663.442 -29.6639 11.6267 12 0 0.222384 5.26765 
ED 527 1554.02 562.245 32.9928 12 0 0.222384 5.26765 
ED 528 344.75 -1635.4 20.4019 12 0 0.222384 5.26765 
ED 529 1825 -1907.87 6.05628 12 0 0.222384 5.26765 
ED 530 -650.255 390.772 14.5769 12 0 0.222384 5.26765 
ED 531 -1877.16 963.658 10.5093 12 0 0.222384 5.26765 
ED 532 -1748.28 35.9839 13.2253 12 0 0.222384 5.26765 
ED 533 -1846.1 -242.928 33.2668 12 0 0.222384 5.26765 
ED 534 922.92 -1666.12 33.77 12 0 0.222384 5.26765 
ED 535 -1697.33 -250.307 19.9147 12 0 0.222384 5.26765 
ED 536 -744.251 -1326.08 13.9749 12 0 0.222384 5.26765 
ED 537 -952.374 1027.8 37.6762 12 0 0.222384 5.26765 
ED 538 1754.71 -304.004 12.5016 12 0 0.222384 5.26765 
ED 539 -1466.87 -169.948 33.4475 8 4 0.0266683 5.46336 
ED 540 -1860.55 -100.369 17.6992 12 0 0.222384 5.26765 
ED 541 -1543.62 -1894.81 8.00103 12 0 0.222384 5.26765 
ED 542 1224.58 -855.816 34.3431 8 4 0.0266683 5.46336 
ED 543 -1087.02 -673.561 29.2544 7 5 0.0183865 5.47164 
ED 544 1250.58 -1656.54 17.0701 12 0 0.222384 5.26765 
ED 545 951.949 -1108.95 8.14398 7 5 0.0183865 5.47164 
ED 546 -595.946 2406.86 24.1422 12 0 0.222384 5.26765 
ED 547 -1779.58 1924.49 14.0739 12 0 0.222384 5.26765 
ED 548 746.74 1420.32 14.3217 12 0 0.222384 5.26765 
ED 549 -349.371 -1680.65 11.0755 12 0 0.222384 5.26765 
ED 550 1914.4 240.545 6.65256 12 0 0.222384 5.26765 
ED 551 -1567.81 -1057.8 39.3981 7 5 0.0183865 5.47164 
ED 552 22.0039 -255.109 32.9176 12 0 0.222384 5.26765 
ED 553 -1087.76 -372.784 4.43596 12 0 0.222384 5.26765 
ED 554 -87.9875 -1757.53 20.545 12 0 0.222384 5.26765 
ED 555 1740.59 250.095 17.429 12 0 0.222384 5.26765 
ED 556 -195.017 2148.64 36.2496 8 4 0.0266683 5.46336 
ED 557 -1979.71 124.161 18.6851 12 0 0.222384 5.26765 
ED 558 719.365 -106.049 29.5805 12 0 0.222384 5.26765 
ED 559 -796.147 -829.34 11.2327 10 2 0.0631744 5.42685 
ED 560 -1589.1 867.096 28.5111 12 0 0.222384 5.26765 
ED 561 -1550.04 1865.86 24.0214 12 0 0.222384 5.26765 
ED 562 318.546 1786.93 0.830574 12 0 0.222384 5.26765 
ED 563 1227.18 1555.58 13.3187 12 0 0.222384 5.26765 
ED 564 -1049.12 673.435 5.01279 12 0 0.222384 5.26765 
ED 565 1827.95 1590.28 6.00298 12 0 0.222384 5.26765 
ED 566 -995.231 -1542.12 26.4621 12 0 0.222384 5.26765 
ED 567 -1961.29 1517.21 27.4884 12 0 0.222384 5.26765 
ED 568 229.92 -1272.7 22.9719 12 0 0.222384 5.26765 
ED 569 1305.29 -420.564 30.4734 12 0 0.222384 5.26765 
ED 570 -182.654 1531.46 25.2525 12 0 0.222384 5.26765 
ED 571 5.72318 1820.22 36.2855 8 4 0.0266683 5.46336 
ED 572 159.007 -1798.99 1.44883 12 0 0.222384 5.26765 
ED 573 1427.04 -727.104 37.2713 7 5 0.0183865 5.47164 
ED 574 -740.192 -96.5025 17.4084 12 0 0.222384 5.26765 
ED 575 1543.52 -675.693 29.9467 8 4 0.0266683 5.46336 
ED 576 -246.821 304.887 33.8471 12 0 0.222384 5.26765 
ED 577 1847 2029.69 12.1454 12 0 0.222384 5.26765 
ED 578 9.15479 -152.245 5.62923 12 0 0.222384 5.26765 
ED 579 -651.748 1430.34 26.6948 12 0 0.222384 5.26765 
ED 580 132.197 867.411 2.88374 7 5 0.0183865 5.47164 
ED 581 -151.581 -89.4137 18.5675 12 0 0.222384 5.26765 
ED 582 1043.66 -1256.3 32.3671 7 5 0.0183865 5.47164 
ED 583 953.043 1564.48 15.6189 12 0 0.222384 5.26765 
ED 584 -1451.18 1685.64 35.6664 12 0 0.222384 5.26765 
ED 585 824.392 -828.941 21.0028 12 0 0.222384 5.26765 
ED 586 -369.196 1105.95 39.0371 7 5 0.0183865 5.47164 
ED 587 -1996.95 1404.82 17.2258 12 0 0.222384 5.26765 
ED 588 905.272 -85.0506 7.12145 12 0 0.222384 5.26765 
ED 589 5.35615 2275.66 2.89659 12 0 0.222384 5.26765 
ED 590 -665.527 -1921.37 32.7137 9 3 0.0399358 5.45009 
ED 591 -1768.47 -348.327 23.6161 12 0 0.222384 5.26765 
ED 592 -1545.43 202.96 4.28319 12 0 0.222384 5.26765 
ED 593 904.351 608.337 37.2967 8 4 0.0266683 5.46336 
ED 594 -689.671 2280.1 5.4303 12 0 0.222384 5.26765 
ED 595 -492.708 -871.598 27.5904 12 0 0.222384 5.26765 
ED 596 -1199.87 -918.082 19.5627 12 0 0.222384 5.26765 
ED 597 1718.89 -920.355 16.5409 12 0 0.222384 5.26765 
ED 598 -1063.21 -1325.34 0.319602 12 0 0.222384 5.26765 
ED 599 1902.99 -1482.54 30.7508 12 0 0.222384 5.26765 
ED 600 -580.026 -1885.4 17.1049 12 0 0.222384 5.26765 
ED 601 1609.22 1395.84 17.7625 12 0 0.222384 5.26765 
ED 602 606.207 -1615.73 23.8326 12 0 0.222384 5.26765 
ED 603 -467.793 -985.889 24.3514 12 0 0.222384 5.26765 
ED 604 852.174 -1608.84 7.30644 12 0 0.222384 5.26765 
ED 605 -1992.06 -1352.9 20.1588 12 0 0.222384 5.26765 
ED 606 104.444 -956.535 26.373 12 0 0.222384 5.26765 
ED 607 -1292.88 2311.12 39.5895 7 5 0.0183865 5.47164 
ED 608 412.938 -1238.23 18.8292 12 0 0.222384 5.26765 
ED 609 -647.581 -1263.78 15.4751 12 0 0.222384 5.26765 
ED 610 710.698 318.183 0.977013 12 0 0.222384 5.26765 
ED 611 908.532 2225.92 26.6618 12 0 0.222384 5.26765 
ED 612 1645.43 -1763.74 19.5543 12 0 0.222384 5.26765 
ED 613 1422 1840.62 9.84511 12 0 0.222384 5.26765 
ED 614 -155.239 734.324 25.9846 12 0 0.222384 5.26765 
ED 615 512.967 1236.33 1.14292 12 0 0.222384 5.26765 
ED 616 -1096.72 1110.92 13.6982 12 0 0.222384 5.26765 
ED 617 1836.36 -505.251 9.59312 12 0 0.222384 5.26765 
ED 618 157.401 543.309 33.3563 7 5 0.0183865 5.47164 
ED 619 -666.407 2450.37 5.76435 12 0 0.222384 5.26765 
ED 620 -278.108 2170.11 23.6828 12 0 0.222384 5.26765 
ED 621 1211.72 -964.211 8.83062 8 4 0.0266683 5.46336 
ED 622 -1240.45 264.562 29.6006 12 0 0.222384 5.26765 
ED 623 1657.43 1707.75 24.5607 12 0 0.222384 5.26765 
ED 624 -1691.73 1414.94 18.1777 12 0 0.222384 5.26765 
ED 625 435.233 1955.71 18.6652 12 0 0.222384 5.26765 
ED 626 509.003 -1203.04 37.7505 7 5 0.0183865 5.47164 
ED 627 -555.506 -162.859 12.4363 12 0 0.222384 5.26765 
ED 628 1042.58 -1883.91 23.4677 12 0 0.222384 5.26765 
ED 629 -1584.86 2117.46 37.7129 12 0 0.222384 5.26765 
ED 630 -897.786 1928.24 11.3428 12 0 0.222384 5.26765 
ED 631 -1047.32 -1136.57 13.2161 7 5 0.0183865 5.47164 
ED 632 -1043.7 995.049 7.48799 12 0 0.222384 5.26765 
ED 633 29.6599 -1800.13 6.49894 12 0 0.222384 5.26765 
ED 634 950.464 477.389 6.38356 12 0 0.222384 5.26765 
ED 635 -478.707 469.713 22.1746 12 0 0.222384 5.26765 
ED 636 -960.858 1871.86 15.8658 12 0 0.222384 5.26765 
ED 637 -1490.68 -639.195 7.89082 12 0 0.222384 5.26765 
ED 638 -271.159 -1786.86 4.87149 12 0 0.222384 5.26765 
ED 639 1949.81 2010.71 24.6305 12 0 0.222384 5.26765 
ED 640 -1784.89 -662.195 7.70091 12 0 0.222384 5.26765 
ED 641 -1284.54 2010.39 37.4295 11 1 0.116244 5.37378 
ED 642 -876.463 -773.292 33.3949 7 5 0.0183865 5.47164 
ED 643 -778.773 1886.79 1.21307 12 0 0.222384 5.26765 
ED 644 -554.939 -1211.37 5.88628 12 0 0.222384 5.26765 
ED 645 231.2 1025.05 23.1012 12 0 0.222384 5.26765 
ED 646 -1797.32 -302.879 5.75119 12 0 0.222384 5.26765 
ED 647 1343.46 1326.23 17.3777 12 0 0.222384 5.26765 
ED 648 1447.86 -1794.54 5.10633 12 0 0.222384 5.26765 
ED 649 -489.758 -1937.1 26.7008 12 0 0.222384 5.26765 
ED 650 1715.04 -869.11 0.945265 12 0 0.222384 5.26765 
ED 651 -1877.9 -1566.58 32.1914 12 0 0.222384 5.26765 
ED 652 712.998 -1502.51 36.7532 7 5 0.0183865 5.47164 
ED 653 -1055.48 433.085 18.2438 12 0 0.222384 5.26765 
ED 654 427.351 121.654 23.9711 12 0 0.222384 5.26765 
ED 655 -871.657 2.40685 9.88793 12 0 0.222384 5.26765 
ED 656 -1953.62 841.233 29.42 12 0 0.222384 5.26765 
ED 657 -143.359 852.571 33.5685 7 5 0.0183865 5.47164 
ED 658 -972.387 713.818 19.4371 12 0 0.222384 5.26765 
ED 659 128.405 -378.858 25.5399 12 0 0.222384 5.26765 
ED 660 -297.391 777.855 30.444 9 3 0.0399358 5.45009 
ED 661 -658.094 -72.4459 15.4252 12 0 0.222384 5.26765 
ED 662 -696.632 817.118 4.73526 12 0 0.222384 5.26765 
ED 663 442.444 1042.09 22.1479 7 5 0.0183865 5.47164 
ED 664 741.467 2298.32 0.510579 12 0 0.222384 5.26765 
ED 665 -384.786 1952.62 32.6762 12 0 0.222384 5.26765 
ED 666 -897.723 -1956.29 12.5398 12 0 0.222384 5.26765 
ED 667 1553.12 168.11 13.7913 12 0 0.222384 5.26765 
ED 668 -1463.76 400.03 30.3443 12 0 0.222384 5.26765 
ED 669 -784.393 2269.2 37.6249 12 0 0.222384 5.26765 
ED 670 1933.08 679.666 9.035 12 0 0.222384 5.26765 
ED 671 -1581.38 940.931 4.25981 12 0 0.222384 5.26765 
ED 672 531.668 -515.009 38.2064 10 2 0.0631744 5.42685 
ED 673 541.592 1150.97 36.4622 7 5 0.0183865 5.47164 
ED 674 -1883.7 1232.37 9.29358 12 0 0.222384 5.26765 
ED 675 -557.869 -1565.91 29.1973 12 0 0.222384 5.26765 
ED 676 1550.47 2436.97 14.9449 12 0 0.222384 5.26765 
ED 677 520.7 -1562.91 35.9992 7 5 0.0183865 5.47164 
ED 678 740.755 -825.99 35.6313 7 5 0.0183865 5.47164 
ED 679 803.687 1136.06 7.40864 12 0 0.222384 5.26765 
ED 680 -168.479 -439.251 26.9686 12 0 0.222384 5.26765 
ED 681 -1748.9 1441.22 12.3489 12 0 0.222384 5.26765 
ED 682 1445.8 395.026 38.8365 7 5 0.0183865 5.47164 
ED 683 1441.88 -1138.54 12.7872 12 0 0.222384 5.26765 
ED 684 127.683 -737.611 9.88329 12 0 0.222384 5.26765 
ED 685 -158.802 1164.15 35.4681 7 5 0.0183865 5.47164 
ED 686 940.225 2358.15 10.4425 12 0 0.222384 5.26765 
ED 687 1000.64 1316.87 4.12706 12 0 0.222384 5.26765 
ED 688 552.724 -1332.4 22.9802 12 0 0.222384 5.26765 
ED 689 42.512 974.453 9.8271 7 5 0.0183865 5.47164 
ED 690 1106.69 298.982 27.0474 12 0 0.222384 5.26765 
ED 691 1655.63 1327.55 11.7728 12 0 0.222384 5.26765 
ED 692 -260.455 -1385.77 26.9243 12 0 0.222384 5.26765 
ED 693 1741.47 -1997.54 14.0459 12 0 0.222384 5.26765 
ED 694 331.141 -1098.91 39.0051 7 5 0.0183865 5.47164 
ED 695 826.628 612.204 33.9612 12 0 0.222384 5.26765 
ED 696 -1240.9 1564.75 20.0919 12 0 0.222384 5.26765 
ED 697 3.36218 250.983 30.0328 12 0 0.222384 5.26765 
ED 698 1003.02 904.283 5.72243 12 0 0.222384 5.26765 
ED 699 -291.5 31.7503 26.643 12 0 0.222384 5.26765 
GW 700 -4.47408 999.561 30 
GW 701 996.268 -994.808 30 
GW 702 -1006.26 -992.205 30 
