#Dev nodeId x y z SF DR ConsEnergy RemEnergy 
ED 90 908.611 951.151 31.5641 12 0 0.222384 5.26765 
ED 91 1926.59 1740.87 19.6109 12 0 0.222384 5.26765 
ED 92 -681.082 -488.221 23.5499 12 0 0.222384 5.26765 
ED 93 -796.398 -21.6204 32.7184 11 1 0.116244 5.37378 
ED 94 15.7678 725.565 21.4859 7 5 0.0183865 5.47164 
ED 95 832.155 2307.24 33.9199 12 0 0.222384 5.26765 
ED 96 1211.19 -174.06 23.5773 12 0 0.222384 5.26765 
ED 97 -350.395 802.876 5.3487 12 0 0.222384 5.26765 
ED 98 720.957 105.021 9.0063 12 0 0.222384 5.26765 
ED 99 -341.069 2241.33 15.6017 12 0 0.222384 5.26765 
ED 100 848.308 -1555.08 26.2422 11 1 0.116244 5.37378 
ED 101 -679.403 333.454 27.8702 12 0 0.222384 5.26765 
ED 102 -287.557 -1052.35 38.1306 9 3 0.0399358 5.45009 
ED 103 1012.16 -843.689 39.6421 7 5 0.0183865 5.47164 
ED 104 729.098 1132.21 12.2049 12 0 0.222384 5.26765 
ED 105 -640.586 -981.774 17.8768 11 1 0.116244 5.37378 
ED 106 -1072.4 178.322 4.1199 12 0 0.222384 5.26765 
ED 107 822.186 48.5399 24.3354 12 0 0.222384 5.26765 
ED 108 701.919 1685.7 0.164318 12 0 0.222384 5.26765 
ED 109 -690.531 1929.63 29.6523 12 0 0.222384 5.26765 
ED 110 930.425 -1792.39 22.1327 12 0 0.222384 5.26765 
ED 111 -479.332 1392 10.5956 12 0 0.222384 5.26765 
ED 112 1930.1 809.287 21.0923 12 0 0.222384 5.26765 
ED 113 -1546.97 -652.582 31.6789 12 0 0.222384 5.26765 
ED 114 -652.464 -762.504 20.0255 12 0 0.222384 5.26765 
ED 115 542.289 314.694 8.27068 12 0 0.222384 5.26765 
ED 116 -367.686 1032.03 11.4971 12 0 0.222384 5.26765 
ED 117 -1676.79 -1466.84 14.7578 12 0 0.222384 5.26765 
ED 118 938.538 1644.49 12.1467 12 0 0.222384 5.26765 
ED 119 1828.96 -413.245 23.7148 12 0 0.222384 5.26765 
ED 120 -891.936 334.27 16.6074 12 0 0.222384 5.26765 
ED 121 1957.25 1112.95 30.0524 12 0 0.222384 5.26765 
ED 122 114.18 1477.26 32.6913 7 5 0.0183865 5.47164 
ED 123 -1779.14 -1795.97 19.8589 12 0 0.222384 5.26765 
ED 124 413.803 -1997.25 38.0699 8 4 0.0266683 5.46336 
ED 125 614.04 2175.92 20.0222 12 0 0.222384 5.26765 
ED 126 1613.22 -739.481 0.951889 12 0 0.222384 5.26765 
ED 127 1102.79 1827.24 16.7495 12 0 0.222384 5.26765 
ED 128 -1179.06 -145.634 29.2854 12 0 0.222384 5.26765 
ED 129 1659.35 900.134 2.55523 12 0 0.222384 5.26765 
ED 130 -1686.01 -1804.48 1.01548 12 0 0.222384 5.26765 
ED 131 -574.684 2130.13 39.6879 7 5 0.0183865 5.47164 
ED 132 1132.59 -233.901 3.11167 12 0 0.222384 5.26765 
ED 133 -850.438 -495.639 22.7951 12 0 0.222384 5.26765 
ED 134 -1294.13 -689.67 36.3503 7 5 0.0183865 5.47164 
ED 135 -786.805 1577.57 16.6991 12 0 0.222384 5.26765 
ED 136 259.805 -1857.4 38.1976 9 3 0.0399358 5.45009 
ED 137 845.754 -411.171 39.0047 7 5 0.0183865 5.47164 
ED 138 237.162 835.622 29.3881 9 3 0.0399358 5.45009 
ED 139 -468.661 1725.73 15.6246 12 0 0.222384 5.26765 
ED 140 244.775 -548.721 0.950322 12 0 0.222384 5.26765 
ED 141 730.763 -1376.29 31.8405 12 0 0.222384 5.26765 
ED 142 -1988.12 -1840.66 8.02735 12 0 0.222384 5.26765 
ED 143 1442.64 1121.64 39.7151 7 5 0.0183865 5.47164 
ED 144 327.83 -389.533 9.05912 12 0 0.222384 5.26765 
ED 145 -1172.03 -1233.72 2.85218 12 0 0.222384 5.26765 
ED 146 1845.89 -667.452 34.4364 12 0 0.222384 5.26765 
ED 147 519.588 -1074.56 9.93794 12 0 0.222384 5.26765 
ED 148 1348.97 -681.649 32.117 7 5 0.0183865 5.47164 
ED 149 -1082.65 -9.81602 13.1918 12 0 0.222384 5.26765 
ED 150 1558.77 -1894.03 21.4655 12 0 0.222384 5.26765 
ED 151 428.39 1843.78 38.2217 12 0 0.222384 5.26765 
ED 152 1209.73 2459.88 16.098 12 0 0.222384 5.26765 
ED 153 -974.168 -1982.72 17.3801 12 0 0.222384 5.26765 
ED 154 719.142 406.827 0.474313 12 0 0.222384 5.26765 
ED 155 -1062.49 -491.448 6.39325 12 0 0.222384 5.26765 
ED 156 1922.71 -1987.12 36.4656 9 3 0.0399358 5.45009 
ED 157 238.382 549.663 6.05982 12 0 0.222384 5.26765 
ED 158 349.488 57.6283 39.3232 7 5 0.0183865 5.47164 
ED 159 -670.535 -412.119 30.7924 12 0 0.222384 5.26765 
ED 160 345.105 1105.16 34.5243 9 3 0.0399358 5.45009 
ED 161 -98.4011 916.473 17.6506 7 5 0.0183865 5.47164 
ED 162 -1561.36 424.196 32.5009 12 0 0.222384 5.26765 
ED 163 -1686.68 -968.778 28.1329 12 0 0.222384 5.26765 
ED 164 -1675.77 1694.62 30.7517 12 0 0.222384 5.26765 
ED 165 431.57 2427.34 29.722 12 0 0.222384 5.26765 
ED 166 1937.55 2372.93 11.1184 12 0 0.222384 5.26765 
ED 167 -1650.03 962.679 8.86847 12 0 0.222384 5.26765 
ED 168 -1796.87 1057.54 30.4531 12 0 0.222384 5.26765 
ED 169 848.553 1804.51 7.9619 12 0 0.222384 5.26765 
ED 170 -640.849 1082.71 29.2982 7 5 0.0183865 5.47164 
ED 171 1933.46 639.992 14.6232 12 0 0.222384 5.26765 
ED 172 -1647.05 -1050.25 11.0229 12 0 0.222384 5.26765 
ED 173 -1445.4 -1423.49 15.949 12 0 0.222384 5.26765 
ED 174 1157.28 -1143.1 8.191 12 0 0.222384 5.26765 
ED 175 1953.92 1796.67 0.400168 12 0 0.222384 5.26765 
ED 176 725.544 -1650.57 25.0588 12 0 0.222384 5.26765 
ED 177 157.247 1955.66 28.5524 12 0 0.222384 5.26765 
ED 178 -1464.99 -376.455 6.93618 12 0 0.222384 5.26765 
ED 179 209.847 1794.25 32.7869 9 3 0.0399358 5.45009 
ED 180 -1385.78 109.332 30.7717 12 0 0.222384 5.26765 
ED 181 -1997.31 1001 26.5265 12 0 0.222384 5.26765 
ED 182 -569.09 1400.82 35.7312 10 2 0.0631744 5.42685 
ED 183 -1950.08 2125.64 6.65776 12 0 0.222384 5.26765 
ED 184 653.403 582.559 27.472 12 0 0.222384 5.26765 
ED 185 -260.78 -1252.52 0.190464 12 0 0.222384 5.26765 
ED 186 -1051.72 1294.4 22.2372 12 0 0.222384 5.26765 
ED 187 1220.47 -304.162 13.9374 12 0 0.222384 5.26765 
ED 188 1047.25 1852.97 29.0292 12 0 0.222384 5.26765 
ED 189 526.752 1672.2 16.0694 12 0 0.222384 5.26765 
ED 190 -777.693 809.599 7.24492 12 0 0.222384 5.26765 
ED 191 -1088.6 2370.13 12.3376 12 0 0.222384 5.26765 
ED 192 -857.487 -1785.49 37.8449 7 5 0.0183865 5.47164 
ED 193 1421.59 837.702 9.05603 12 0 0.222384 5.26765 
ED 194 -1770.84 -1049.39 8.60941 12 0 0.222384 5.26765 
ED 195 1305.52 -1923.6 20.9659 12 0 0.222384 5.26765 
ED 196 1618.79 -36.7934 26.9713 12 0 0.222384 5.26765 
ED 197 -1995.54 -1579.62 30.4345 12 0 0.222384 5.26765 
ED 198 -758.81 -535.002 0.237945 12 0 0.222384 5.26765 
ED 199 608.441 991.742 11.0301 12 0 0.222384 5.26765 
ED 200 801.434 1588.27 6.94121 12 0 0.222384 5.26765 
ED 201 -1146.05 -1960.18 24.9551 12 0 0.222384 5.26765 
ED 202 -1397.93 -1427.94 3.95269 12 0 0.222384 5.26765 
ED 203 -1373.68 2200.94 30.2687 12 0 0.222384 5.26765 
ED 204 -1460.04 2129.23 34.1986 12 0 0.222384 5.26765 
ED 205 211.676 1459.36 19.379 12 0 0.222384 5.26765 
ED 206 -966.949 2378.4 21.242 12 0 0.222384 5.26765 
ED 207 -1397.94 1197.44 4.70025 12 0 0.222384 5.26765 
ED 208 -877.505 1441.46 17.5444 12 0 0.222384 5.26765 
ED 209 351.793 -800.156 17.2242 12 0 0.222384 5.26765 
ED 210 330.136 -1277.07 22.0361 12 0 0.222384 5.26765 
ED 211 329.612 -1392.26 7.63597 12 0 0.222384 5.26765 
ED 212 700.638 -1104.61 5.88679 12 0 0.222384 5.26765 
ED 213 1349.14 -1775.72 37.5467 11 1 0.116244 5.37378 
ED 214 417.452 -502.152 0.14268 12 0 0.222384 5.26765 
ED 215 432.567 1567.76 37.9391 7 5 0.0183865 5.47164 
ED 216 607.433 -1777.74 28.7012 12 0 0.222384 5.26765 
ED 217 -1961.08 1120.88 15.1808 12 0 0.222384 5.26765 
ED 218 -1284.2 -1268.02 7.68882 12 0 0.222384 5.26765 
ED 219 -1692.6 446.305 28.0025 12 0 0.222384 5.26765 
ED 220 -1687.94 -112.719 1.73859 12 0 0.222384 5.26765 
ED 221 527.24 -812.158 36.9333 7 5 0.0183865 5.47164 
ED 222 50.9141 -1637.64 4.29764 12 0 0.222384 5.26765 
ED 223 1551.83 1247.2 32.6653 12 0 0.222384 5.26765 
ED 224 -1184.01 914.454 24.5475 12 0 0.222384 5.26765 
ED 225 -162.003 1448.58 20.1504 12 0 0.222384 5.26765 
ED 226 -1277.87 1874.65 38.9459 9 3 0.0399358 5.45009 
ED 227 -590.749 1862.55 3.90435 12 0 0.222384 5.26765 
ED 228 -67.6011 1458.26 34.7064 7 5 0.0183865 5.47164 
ED 229 301.011 -1539.62 3.56357 12 0 0.222384 5.26765 
ED 230 610.278 1667.22 31.5098 10 2 0.0631744 5.42685 
ED 231 749.517 -901.801 27.3531 7 5 0.0183865 5.47164 
ED 232 145.324 -1420.7 10.1245 12 0 0.222384 5.26765 
ED 233 1125.34 -1949.15 17.1868 12 0 0.222384 5.26765 
ED 234 121.999 77.8636 28.9053 7 5 0.0183865 5.47164 
ED 235 -1775.21 -1226.98 38.1396 8 4 0.0266683 5.46336 
ED 236 117.046 2065.13 6.85641 12 0 0.222384 5.26765 
ED 237 1047.01 -1650.19 28.1755 8 4 0.0266683 5.46336 
ED 238 -1167.33 970.578 15.7484 12 0 0.222384 5.26765 
ED 239 42.6901 130.272 14.1696 12 0 0.222384 5.26765 
ED 240 1223.15 -1549.93 28.4748 12 0 0.222384 5.26765 
ED 241 -1687.59 1594.68 5.44295 12 0 0.222384 5.26765 
ED 242 -1146.34 18.2383 38.35 7 5 0.0183865 5.47164 
ED 243 6.97972 1650.96 23.4083 12 0 0.222384 5.26765 
ED 244 -1695.19 1896.11 26.1369 12 0 0.222384 5.26765 
ED 245 648.639 -1284.49 15.7793 12 0 0.222384 5.26765 
ED 246 -1888.58 164.22 33.2843 12 0 0.222384 5.26765 
ED 247 653.803 -813.144 15.3221 12 0 0.222384 5.26765 
ED 248 -1295.66 -1994.03 20.2151 12 0 0.222384 5.26765 
ED 249 -55.2761 2142.48 32.9961 12 0 0.222384 5.26765 
ED 250 -943.185 319.315 20.2865 12 0 0.222384 5.26765 
ED 251 -578.633 312.551 29.4102 9 3 0.0399358 5.45009 
ED 252 1007.21 -351.545 30.4233 7 5 0.0183865 5.47164 
ED 253 423.721 2155.21 35.5941 12 0 0.222384 5.26765 
ED 254 -1881.2 -5.24184 3.42396 12 0 0.222384 5.26765 
ED 255 1249.41 1449.94 3.80645 12 0 0.222384 5.26765 
ED 256 304.979 -667.468 4.06166 12 0 0.222384 5.26765 
ED 257 559.999 -930.668 32.0759 7 5 0.0183865 5.47164 
ED 258 -459.415 -1491.26 3.11245 12 0 0.222384 5.26765 
ED 259 -150.396 -1437.24 36.9465 7 5 0.0183865 5.47164 
ED 260 1225.57 -1807.17 11.8444 12 0 0.222384 5.26765 
ED 261 -157.139 -1549.82 22.4162 12 0 0.222384 5.26765 
ED 262 -282.015 1591.47 19.932 12 0 0.222384 5.26765 
ED 263 -1873.63 1139.08 15.2787 12 0 0.222384 5.26765 
ED 264 -62.6861 1136.87 16.4314 7 5 0.0183865 5.47164 
ED 265 -1571.77 -1281.89 37.2777 7 5 0.0183865 5.47164 
ED 266 -859.895 -143.122 2.30085 12 0 0.222384 5.26765 
ED 267 230.256 -1118.14 5.8839 12 0 0.222384 5.26765 
ED 268 -186.658 1034.47 9.1979 7 5 0.0183865 5.47164 
ED 269 -1461.59 -1245.03 33.7807 11 1 0.116244 5.37378 
ED 270 -957.626 -63.0559 24.1506 12 0 0.222384 5.26765 
ED 271 758.588 1799.17 25.2834 12 0 0.222384 5.26765 
ED 272 451.18 1380.96 10.7139 12 0 0.222384 5.26765 
ED 273 1235.48 -1141.62 35.5706 7 5 0.0183865 5.47164 
ED 274 1354.66 254.853 23.9283 12 0 0.222384 5.26765 
ED 275 -342.388 -1479.33 17.2878 12 0 0.222384 5.26765 
ED 276 -1075.85 -1467.47 7.42409 12 0 0.222384 5.26765 
ED 277 -1352.34 -1501.09 31.4499 12 0 0.222384 5.26765 
ED 278 -1053.71 -1943.3 19.3257 12 0 0.222384 5.26765 
ED 279 -1249.9 2171.32 1.88492 12 0 0.222384 5.26765 
